order_id,product_name,category,order_date,revenue,region
1,Chicken,Meat,2023-12-05,443.17707628946107,West
2,Eggs,Dairy,2023-09-30,263.98010793028857,Central
3,Vegetables,Meat,2023-03-03,57.065403397617665,South
4,Fruits,Dairy,2023-02-01,137.52728895719838,East
5,Eggs,Bakery,2023-07-20,290.17677604900183,South
6,Rice,Produce,2023-01-13,455.95983910519857,Central
7,Fruits,Produce,2023-02-05,368.2827965425819,Central
8,Milk,Grains,2023-07-26,8.626484730006716,West
9,Chicken,Meat,2023-03-29,302.1298103643615,South
10,Fruits,Meat,2023-09-24,176.0870106419625,North
11,Milk,Produce,2023-05-12,257.31101818306615,Central
12,Rice,Bakery,2023-11-11,449.74361402202885,North
13,Chicken,Dairy,2023-11-19,477.7091667647301,North
14,Chicken,Produce,2023-03-28,284.7682488365425,South
15,Eggs,Grains,2023-11-05,388.4621025172745,West
16,Bread,Grains,2023-10-28,215.49435584657277,North
17,Milk,Dairy,2023-02-05,140.21134234593484,North
18,Milk,Produce,2023-07-11,166.67497012148476,East
19,Vegetables,Bakery,2023-12-22,88.3278505128612,Central
20,Eggs,Bakery,2023-05-12,393.43908837416905,North
21,Vegetables,Produce,2023-08-03,343.7965455762412,North
22,Chicken,Dairy,2023-01-24,173.26122111182067,South
23,Milk,Meat,2023-03-30,136.86225958180842,North
24,Chicken,Dairy,2023-10-26,143.70609158536197,South
25,Bread,Bakery,2023-09-19,141.7339520896005,Central
26,Fruits,Meat,2023-10-27,426.3148175684551,South
27,Eggs,Dairy,2023-01-15,348.4803915756293,East
28,Rice,Produce,2023-07-18,260.92572933274954,West
29,Bread,Meat,2023-02-08,52.11352770938055,West
30,Eggs,Bakery,2023-03-09,111.87631383172649,Central
31,Milk,Bakery,2023-05-09,493.12006048237845,East
32,Milk,Meat,2023-02-18,91.97510907272991,North
33,Chicken,Meat,2023-11-24,238.78949505639514,East
34,Eggs,Bakery,2023-04-23,490.57556433244963,East
35,Rice,Bakery,2023-08-30,144.11486111083306,North
36,Chicken,Produce,2023-06-16,292.53721665237885,West
37,Vegetables,Meat,2023-07-05,269.5211009432964,West
38,Milk,Grains,2023-10-09,48.191472645137495,East
39,Rice,Grains,2023-11-14,217.72954100161414,East
40,Fruits,Dairy,2023-07-19,124.55108339761601,West
41,Eggs,Produce,2023-04-26,420.01523343428147,North
42,Milk,Grains,2023-07-11,131.60639465676684,Central
43,Vegetables,Grains,2023-12-12,10.088614027222297,West
44,Chicken,Produce,2023-04-07,101.48231694292673,South
45,Fruits,Bakery,2023-09-02,74.27244287353139,West
46,Bread,Dairy,2023-02-21,192.7962680401433,South
47,Vegetables,Produce,2023-06-29,256.59203241146224,South
48,Rice,Meat,2023-03-16,145.00719399458575,Central
49,Chicken,Bakery,2023-01-12,499.5742464878308,East
50,Fruits,Produce,2023-12-22,429.416072840084,South
51,Vegetables,Meat,2023-05-12,101.30818076505663,Central
52,Fruits,Bakery,2023-05-13,300.9684223902189,East
53,Fruits,Dairy,2023-10-01,56.485986367013794,Central
54,Bread,Produce,2023-12-27,14.842044077733572,Central
55,Eggs,Grains,2023-12-21,6.297452027020808,North
